filename,topic_primary,topic_secondary,topic_tertiary,tone_primary,tone_secondary,narrator_primary,narrator_secondary,confidence_0_to_1,topic_evidence,tone_evidence,narrator_evidence,notes
video02_llm.txt,living_with_dementia,relationships,loss,conversational,realistic,carer,,0.86,"""You've got a partner who has dementia."" / ""common feeling of loss""","""You've got to learn to be patient."" / ""a bit of a challenge""","""You've got a partner who has dementia.""","Partner/carer perspective on daily adaptation and shared loss."
video03_llm.txt,relationships,campaigns,living_with_dementia,hopeful,sad,carer,,0.88,"""my mum's full-time carer"" / ""dementia gets the recognition it needs""","""I wanted to give her back the love"" / ""Dementia has no dignity at all.""","""my mum's full-time carer""","Daughter-carer account with advocacy/documentary purpose."
video04_llm.txt,diagnosis,symptoms_leading_to_diagnosis,public_perceptions,sad,educational,carer,,0.9,"""diagnosed with frontotemporal dementia at just 39"" / ""dementia doesn't just affect older people""","""completely ripped away from us"" / ""understand that dementia doesn't just affect older people""","""my husband was diagnosed""","Spouse describes young-onset diagnosis and public misconception."
video05_llm.txt,symptoms_leading_to_diagnosis,diagnosis,resources,realistic,sad,carer,,0.87,"""first signs of Graham's dementia"" / ""formal diagnosis was a good two years""","""frightening to watch"" / ""such a bumpy road""","""Graham and I have been married 35 years""","Spouse focuses on diagnostic delay, deterioration, and support needs."
video06_llm.txt,daily_challenges,loss,relationships,sad,realistic,carer,,0.95,"""He needs help with everything."" / ""It's taken so many things away""","""I go to bed most nights absolutely exhausted."" / ""It's just devastating.""","""I'm really trying hard to look after you""","Detailed spouse-carer narrative about young-onset dementia, parenting, care burden, and grief."
video07_llm.txt,coping_strategies,relationships,memories,upbeat,educational,similar_age,carer,0.82,"""being more patient and involving him"" / ""reminding him about memories""","""you definitely can"" / ""keep making him smile""","""I'm 19 years old"" / ""my granddad""","Young narrator gives practical encouragement; carer label secondary only because he helps rather than full-time cares."
video08_llm.txt,anticipatory_grief,memories,campaigns,sad,hopeful,carer,,0.93,"""you lose a bit of that person"" / ""The campaigning, the influencing""","""I love her so much"" / ""beginning for me of my new life""","""we've been together for 50 years""","Spouse-carer account of repeated loss, death, support, and campaigning legacy."
video09_llm.txt,relationships,loss,resources,realistic,hopeful,carer,similar_background_or_culture,0.9,"""we got married on the 27th of July 1974"" / ""I'm losing my husband""","""life still goes on"" / ""people would be lost""","""Through her I was able to be a better carer."" / ""I was born... in Sri Lanka""","Mixed-cultural spouse-carer narrative with strong relationship, loss, and support themes."
video10_llm.txt,relationships,resources,coping_strategies,hopeful,comforting,carer,,0.86,"""wife and wife"" / ""The help is there.""","""We do not feel alone."" / ""surrounded with love and kindness""","""we're in it together""","Spouse/partner perspective focused on love, mutual commitment, and available support."
video11_llm.txt,loss,relationships,resources,sad,realistic,carer,,0.89,"""disappearing before your eyes"" / ""the carers thing""","""Alzheimer's is a cruel, cruel, cruel disease."" / ""it's pretty difficult""","""Very lucky to have somebody who cares""","Long-married spouse-carer narrative about grief, adjustment, and support."
